method,baseline_method,condition,metric,n_baseline,n_recovery,baseline_mean,recovery_mean,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh
sac_her_recovery_v4_hx6,sac_her,sensor_bias,recovery_time,450,450,0.0,127.24,127.24,126.31555555555556,128.00227777777778,1.2521535074175343e-76,paired_wilcoxon,2.177658273769625e-76,True
sac_her_recovery_v4_hx6,sac_her,sensor_bias,num_interventions,450,450,0.0,1.8244444444444445,1.8244444444444445,1.7755555555555556,1.8733333333333333,5.514591800766701e-83,paired_wilcoxon,1.4231204647139874e-82,True
sac_her_recovery_v4_hx6,sac_her,action_clipping,recovery_time,450,450,0.0,4.36,4.36,2.4886666666666666,6.3889999999999985,5.911183921447419e-05,paired_wilcoxon,5.911183921447419e-05,True
sac_her_recovery_v4_hx6,sac_her,action_clipping,num_interventions,450,450,0.0,0.04666666666666667,0.04666666666666667,0.02666666666666667,0.06666666666666667,4.592833711753967e-06,paired_wilcoxon,4.899022625870898e-06,True
sac_her_recovery_v4_hx6,sac_her,action_delay,recovery_time,450,450,0.0,10.297777777777778,10.297777777777778,7.444388888888889,13.286833333333332,2.2757261075008663e-09,paired_wilcoxon,2.460244440541477e-09,True
sac_her_recovery_v4_hx6,sac_her,action_delay,num_interventions,450,450,0.0,0.10888888888888888,0.10888888888888888,0.08,0.14,1.7492505804016784e-11,paired_wilcoxon,1.916986937426497e-11,True
sac_her_recovery_v4_hx6,sac_her,action_reversal,recovery_time,450,450,0.0,125.32888888888888,125.32888888888888,125.28444444444445,125.3711111111111,5.389925361645841e-82,paired_wilcoxon,1.2319829398047638e-81,True
sac_her_recovery_v4_hx6,sac_her,action_reversal,num_interventions,450,450,0.0,1.3377777777777777,1.3377777777777777,1.2955555555555556,1.38,4.9997066433454486e-82,paired_wilcoxon,1.1764015631401056e-81,True
sac_her_recovery_v4_hx6,sac_her,goal_spoof_immediate,recovery_time,450,450,0.0,139.07555555555555,139.07555555555555,136.30655555555555,141.5222222222222,1.7464385644572056e-94,paired_wilcoxon,8.218534420975085e-94,True
sac_her_recovery_v4_hx6,sac_her,goal_spoof_immediate,num_interventions,450,450,0.0,1.0244444444444445,1.0244444444444445,1.0,1.068888888888889,3.1590417245300324e-99,paired_wilcoxon,2.3483914356538118e-98,True
sac_her_recovery_v4_hx6,sac_her,goal_spoof_midep,recovery_time,450,450,0.0,82.15555555555555,82.15555555555555,80.07777777777778,84.00894444444444,1.0832039134550412e-73,paired_wilcoxon,1.6991433936549665e-73,True
sac_her_recovery_v4_hx6,sac_her,goal_spoof_midep,num_interventions,450,450,0.0,0.9866666666666667,0.9866666666666667,0.9622222222222222,1.011111111111111,2.688363934717548e-94,paired_wilcoxon,1.1948284154300214e-93,True
sac_her_recovery_v4_hx6,sac_her,object_pose_spoof,recovery_time,450,450,0.0,103.27555555555556,103.27555555555556,98.87988888888889,107.69127777777777,1.6802514499683674e-74,paired_wilcoxon,2.6884023199493877e-74,True
sac_her_recovery_v4_hx6,sac_her,object_pose_spoof,num_interventions,450,450,0.0,1.52,1.52,1.451111111111111,1.5933333333333333,7.114252430338873e-79,paired_wilcoxon,1.4593338318643841e-78,True
sac_her_recovery_v4_hx6,sac_her,grip_state_falsification,recovery_time,450,450,0.0,108.2088888888889,108.2088888888889,104.80655555555556,111.37127777777776,1.925246313947814e-70,paired_wilcoxon,2.8003582748331838e-70,True
sac_her_recovery_v4_hx6,sac_her,grip_state_falsification,num_interventions,450,450,0.0,0.9888888888888889,0.9888888888888889,0.9533333333333334,1.0222222222222221,1.5879068021513777e-87,paired_wilcoxon,5.293022673837926e-87,True
sac_her_recovery_v4_hx6,sac_her,contact_dropout,recovery_time,450,450,0.0,128.9777777777778,128.9777777777778,128.66222222222223,129.30444444444444,3.421402647604462e-76,paired_wilcoxon,5.585963506293e-76,True
sac_her_recovery_v4_hx6,sac_her,contact_dropout,num_interventions,450,450,0.0,1.9066666666666667,1.9066666666666667,1.8666666666666667,1.9444444444444444,3.816535364751039e-88,paired_wilcoxon,1.3274905616525354e-87,True
